id,Grid_ID,Lat,Lon,centroid_x,centroid_y,NDVI,geometry,landcover,Water,dist_to_water,burned_area,elevation,poaching_risk,image_path
00000000000000000ae9,2793,-22.7093874730378,30.89973646803844,900720.0398637672,7483380.064819252,0.371844723600826,"POLYGON ((30.907817514619648 -22.715409913809953, 30.907817514619648 -22.70429778966994, 30.89416815038016 -22.70429780847325, 30.894083451832334 -22.70434683790413, 30.893954170378546 -22.70442713630785, 30.89386500463508 -22.704525224710565, 30.89371785473965 -22.704690215515235, 30.893526121664173 -22.70483738972576, 30.893356636032287 -22.704971099600076, 30.89318715016583 -22.705096003450986, 30.893048933611183 -22.705194105495163, 30.89295530012779 -22.70528776456165, 30.892848265319156 -22.705399200316382, 30.892750164594055 -22.705515174269937, 30.89243361403988 -22.705840684192218, 30.892308710358698 -22.705952176400157, 30.892192828358258 -22.706050249645976, 30.892099194220364 -22.70616168467628, 30.892050143567637 -22.7062196719298, 30.891898524372255 -22.70637126540726, 30.891639869124504 -22.706665606663734, 30.8914347313876 -22.70692873255396, 30.89129204571387 -22.70712490067498, 30.891149359873925 -22.707356783267358, 30.891033476776634 -22.707557434000712, 30.890904104512064 -22.70773135996769, 30.890699053134405 -22.70796764243054, 30.890605330263142 -22.70808358217666, 30.890565213348665 -22.70812816959599, 30.89053849792889 -22.708199500756525, 30.89051169491173 -22.708297677167153, 30.89041805948875 -22.708404629116277, 30.890319956817272 -22.708529493156806, 30.89024865714781 -22.708681099758635, 30.89022185406723 -22.708716816851624, 30.890159488706722 -22.708850538297465, 30.89014608715741 -22.708908514508437, 30.889820595483428 -22.712667551061905, 30.907817514619648 -22.715409913809953))",20.000000000000032,41.0,845.3775074596366,0.4235294117647059,472.20641546420586,Medium,grid_patches_final_png\grid_2793.png
00000000000000000aeb,2795,-22.69990786561393,30.90358027952528,901143.1330998532,7484420.753585972,0.3497580713871448,"MULTIPOLYGON (((30.902653824487828 -22.686332133886296, 30.9030328826129 -22.68664421982162, 30.90332715982992 -22.68685385663043, 30.903670569937226 -22.687067864911462, 30.90419667480409 -22.687353267262054, 30.904562328177263 -22.687540518271245, 30.904919047169162 -22.68772779492957, 30.905570124522605 -22.688017626143317, 30.90653771330391 -22.688445722305257, 30.907228893506023 -22.688731068766604, 30.907777403346717 -22.68894962110538, 30.907817514619648 -22.688967409238003, 30.907817514619648 -22.686296423728614, 30.90261817824975 -22.68629643244791, 30.902653824487828 -22.686332133886296)), ((30.907817514619648 -22.70429778966994, 30.907817514619648 -22.697841070122127, 30.907634649146353 -22.697983747741905, 30.907197715162393 -22.698273597360885, 30.906756225460153 -22.698572326235574, 30.90641737818622 -22.69882651507296, 30.905797571632387 -22.699285786095306, 30.90530256490514 -22.699696040152947, 30.90480764375579 -22.700106276497426, 30.904125383216694 -22.700565568604226, 30.90387568716958 -22.700694849825, 30.90376419522386 -22.70076173984798, 30.903411939563473 -22.700957964067854, 30.9031220416778 -22.701082848451456, 30.902801051223495 -22.7011987041971, 30.902297098890287 -22.701390482821544, 30.902007285946226 -22.701493007807613, 30.901726405837643 -22.701582214216977, 30.90132947656481 -22.701666960612847, 30.901088708379806 -22.701702611976167, 30.900758778998952 -22.701760605033293, 30.90026375188283 -22.701840894906415, 30.89994722075579 -22.701854203998725, 30.899853504963424 -22.701867650436764, 30.899742096937445 -22.701907696266808, 30.89967518200517 -22.701921139223806, 30.899452190356765 -22.701934491370505, 30.899224819035325 -22.701974622716524, 30.89912672341953 -22.701983539052225, 30.89900629342655 -22.701992485208276, 30.898752120063282 -22.702054878150143, 30.898658490941514 -22.70207719255674, 30.898359735612882 -22.702157482185797, 30.897735508918334 -22.70235367563609, 30.8973787689836 -22.702491896587393, 30.89673220257304 -22.702803980180565, 30.89639770690571 -22.70294675550079, 30.896201511064174 -22.70303144508444, 30.895840387271388 -22.703218704466348, 30.895635256570795 -22.703339135044207, 30.895385543200288 -22.70350852799105, 30.89505551085806 -22.703735964877712, 30.894788015838806 -22.703914364654825, 30.89456063585411 -22.70405698431291, 30.89428858513271 -22.704226488610217, 30.89416815038016 -22.70429780847325, 30.907817514619648 -22.70429778966994)))",20.000000000000018,29.77735849056604,437.19894631156376,0.6666666666666667,442.07112317004106,High,grid_patches_final_png\grid_2795.png
000000000000000009e8,2536,-23.07150020479268,30.90466729399285,900161.2661252769,7443216.09682349,0.2757756972462652,"POLYGON ((30.89942101003105 -23.06683613503629, 30.901962706015695 -23.07301639365182, 30.90578417179513 -23.0822958090829, 30.907817514619648 -23.08229578720679, 30.907817514619648 -23.064298893104308, 30.90018799118677 -23.064298865171917, 30.899398675804097 -23.066787063328253, 30.89942101003105 -23.06683613503629))",20.000000000000057,,4689.88407764304,0.0,468.843680753292,Medium,grid_patches_final_png\grid_2536.png
00000000000000000aed,2797,-22.682877564780338,30.90512351387673,901351.6164678236,7486304.84028505,0.4018459138168659,"POLYGON ((30.901592578106666 -22.684713478773215, 30.901739718535854 -22.68506127088831, 30.901882479616493 -22.685342159293352, 30.902154425876684 -22.68579700045952, 30.902386346074486 -22.686073491261148, 30.90261817824975 -22.68629643244791, 30.907817514619648 -22.686296423728614, 30.907817514619648 -22.678154078732256, 30.90743847132303 -22.678278994082948, 30.906818669944492 -22.678497415420622, 30.905931307182556 -22.67882295731027, 30.90551214602342 -22.679028078265215, 30.905222340696284 -22.67920646636241, 30.904874468299727 -22.679411569807744, 30.904638173746047 -22.679540894650724, 30.904268053931652 -22.679790604476086, 30.90355014441639 -22.680365822400482, 30.903117574967855 -22.680740367446102, 30.902702870891787 -22.68117739442896, 30.902359545651134 -22.681663388179484, 30.901962706015695 -22.68235458317845, 30.901851212326577 -22.68262211014463, 30.901735251775435 -22.683081457618545, 30.90162384546267 -22.683834985837457, 30.90158811134087 -22.684245206702837, 30.901561398326326 -22.684477068739444, 30.901592578106666 -22.684713478773215))",20.0,,487.1561316725587,0.0,495.9542504421902,Medium,grid_patches_final_png\grid_2797.png
000000000000000009ea,2538,-23.057077377994563,30.905143015474177,900252.8573662805,7444813.9968103,0.2551175555857589,"POLYGON ((30.907817514619648 -23.064298893104308, 30.907817514619648 -23.04629747351349, 30.905873328854593 -23.046297462215374, 30.90018799118677 -23.064298865171917, 30.907817514619648 -23.064298893104308))",20.00000000000005,,4603.308042655682,0.0,470.2012731772524,Medium,grid_patches_final_png\grid_2538.png
000000000000000009e6,2534,-23.08394504930964,30.90714090757672,900378.1082919715,7441829.404307212,0.2370947735675066,"POLYGON ((30.907817514619648 -23.087240938591588, 30.907817514619648 -23.08229578720679, 30.90578417179513 -23.0822958090829, 30.907817514619648 -23.087240938591588))",20.0,,3305.0118952537114,0.0,469.729059877204,Medium,grid_patches_final_png\grid_2534.png
000000000000000009ec,2540,-23.04424200038616,30.907170369863987,900498.9262216566,7446231.612180567,0.2600848903619829,"POLYGON ((30.907817514619648 -23.04629747351349, 30.907817514619648 -23.040130529391032, 30.905873328854593 -23.046297462215374, 30.907817514619648 -23.04629747351349))",20.0,,3229.070199523916,0.0,449.9318073891157,Medium,grid_patches_final_png\grid_2540.png
000000000000000009eb,2539,-23.05529694199992,30.916819527999976,901456.2150514718,7444979.315919047,0.2417646600374607,"POLYGON ((30.925818878104643 -23.064298847546485, 30.925818878104643 -23.04629751963065, 30.907817514619648 -23.04629747351349, 30.907817514619648 -23.064298893104308, 30.925818878104643 -23.064298847546485))",20.000000000000203,,4770.947068719635,0.0,464.55347225276415,Medium,grid_patches_final_png\grid_2539.png
000000000000000009e9,2537,-23.07329694199992,30.91681952799998,901402.6781669524,7442983.453306525,0.2595610462831959,"POLYGON ((30.925818878104643 -23.082295813934028, 30.925818878104643 -23.064298847546485, 30.907817514619648 -23.064298893104308, 30.907817514619648 -23.08229578720679, 30.925818878104643 -23.082295813934028))",19.999999999999964,,4688.37508616624,0.0,464.7245894429423,Medium,grid_patches_final_png\grid_2537.png
00000000000000000aea,2794,-22.71056452024085,30.91714903485464,902507.796513977,7483202.3077844605,0.3768637130765105,"POLYGON ((30.925818878104643 -22.718152251664353, 30.925818878104643 -22.704297846364295, 30.907817514619648 -22.70429778966994, 30.907817514619648 -22.715409913809953, 30.925818878104643 -22.718152251664353))",20.000000000000053,,2081.532643864351,5.1803921568627445,476.50408033241706,Medium,grid_patches_final_png\grid_2794.png
00000000000000000aec,2796,-22.695442047560903,30.917354869668937,902573.2903316898,7484878.520005359,0.3674686218028412,"POLYGON ((30.925818878104643 -22.704297846364295, 30.925818878104643 -22.6862964160386, 30.907817514619648 -22.686296423728614, 30.907817514619648 -22.688967409238003, 30.908316890108047 -22.68918150520759, 30.908825284138793 -22.689413324010278, 30.90953422973567 -22.68978788348629, 30.90985975655897 -22.690010881630002, 30.91009166214486 -22.69022936835738, 30.910372523041435 -22.690590531452383, 30.91056431729598 -22.690889306990353, 30.91069358119916 -22.69111669896589, 30.91088537494995 -22.691518034235962, 30.911032504198626 -22.691923831455966, 30.91111281217215 -22.69227163436279, 30.911143989517342 -22.692659582976447, 30.91114845593411 -22.69309651489024, 30.911143989517342 -22.693622747888654, 30.911059302721288 -22.694238066246616, 30.91096112901975 -22.694559173378703, 30.9107515572414 -22.695009519156084, 30.910417187483755 -22.695589188481694, 30.910118373296253 -22.696057414988, 30.909797313627763 -22.696414124521144, 30.909217635020386 -22.696824403766467, 30.908811884633327 -22.697087469689396, 30.908401666382698 -22.697395105765686, 30.907817514619648 -22.697841070122127, 30.907817514619648 -22.70429778966994, 30.925818878104643 -22.704297846364295))",20.000000000000103,,1175.4523623466312,14.03921568627451,480.2377022836196,Medium,grid_patches_final_png\grid_2796.png
000000000000000009ed,2541,-23.03766741661315,30.917387797332424,901566.9332858318,7446932.539381984,0.2111108880907164,"POLYGON ((30.925818878104643 -23.04629751963065, 30.925818878104643 -23.028296074187494, 30.911558664967373 -23.028296135433603, 30.907817514619648 -23.040130529391032, 30.907817514619648 -23.04629747351349, 30.925818878104643 -23.04629751963065))",20.00000000000016,,3117.8110799776605,0.0,453.2159776753239,Medium,grid_patches_final_png\grid_2541.png
000000000000000009e7,2535,-23.09073026251598,30.91769641925934,901440.735021064,7441048.011216682,0.2152313724832216,"POLYGON ((30.911188566101 -23.09542338402976, 30.91322637295515 -23.10029724004287, 30.925818878104643 -23.100297216705847, 30.925818878104643 -23.082295813934028, 30.907817514619648 -23.08229578720679, 30.907817514619648 -23.087240938591588, 30.911188566101 -23.09542338402976))",20.00000000000006,,2929.284923129592,0.0,467.5726361466094,Medium,grid_patches_final_png\grid_2535.png
00000000000000000adc,2780,-22.68092638874688,30.917814754700203,902663.1268274249,7486486.74154848,0.4192094705563745,"POLYGON ((30.925818878104643 -22.6862964160386, 30.925818878104643 -22.668295057696653, 30.92533288428918 -22.668294989422158, 30.92531948659442 -22.668464468587437, 30.925243653863042 -22.668968353133035, 30.92509654173246 -22.66974869351516, 30.924971671415822 -22.670199034910933, 30.9247129985582 -22.670774322730257, 30.924427617135738 -22.67138073681728, 30.924209136583812 -22.67191135089191, 30.923959481574567 -22.67249108031937, 30.923495722615307 -22.673365066777908, 30.92303196189409 -22.674074060243964, 30.922817944834183 -22.674310337799607, 30.922737644555742 -22.67441296264441, 30.92260383983048 -22.67460019340795, 30.92239428802562 -22.674858835113795, 30.922099969149897 -22.675130810591995, 30.921404407023353 -22.675603469470595, 30.920797987105292 -22.6759200969807, 30.920222739203794 -22.676178723082813, 30.919482505271134 -22.67648644059805, 30.919005418489448 -22.676673687375953, 30.918452492894243 -22.676856465737327, 30.917814795109905 -22.677012546997535, 30.916579673096223 -22.67728008802303, 30.915652184933958 -22.677440667253464, 30.91481830655177 -22.67750303417506, 30.913654440315636 -22.677547641420155, 30.91299009454313 -22.677569967198135, 30.9124416080917 -22.6775833443119, 30.911728125385192 -22.677614579765855, 30.911201965345953 -22.677650261848015, 30.910662403739085 -22.67768586091468, 30.909868689486206 -22.6777349883819, 30.909400498126082 -22.677766141893834, 30.908932304972897 -22.677841971581273, 30.908089535263116 -22.678064919154966, 30.907817514619648 -22.678154078732256, 30.907817514619648 -22.686296423728614, 30.925818878104643 -22.6862964160386))",19.99999999999999,21.810996563573887,637.7998456038001,5.180392156862745,524.7624699245825,Medium,grid_patches_final_png\grid_2780.png
000000000000000009ee,2542,-23.02004393950091,30.91999246582856,901886.6118826905,7448879.498619383,0.2329530179258818,"POLYGON ((30.925818878104643 -23.028296074187494, 30.925818878104643 -23.010299162899322, 30.917243999350323 -23.01029921158599, 30.911558664967373 -23.028296135433603, 30.925818878104643 -23.028296074187494))",20.000000000000064,,2257.1742392326405,0.0,433.42637807838935,Medium,grid_patches_final_png\grid_2542.png
000000000000000005a6,1446,-23.108018152294303,30.92113749004903,901742.155629936,7439121.621145083,0.2396627931010242,"POLYGON ((30.92075332645796 -23.11829863129807, 30.925818878104643 -23.118298567294616, 30.925818878104643 -23.100297216705847, 30.91322637295515 -23.10029724004287, 30.92075332645796 -23.11829863129807))",20.000000000000025,,1847.3890129139177,0.0,473.00012554567513,Medium,grid_patches_final_png\grid_1446.png
000000000000000009f9,2553,-23.002784979892176,30.92271852723429,902217.6962701054,7450785.700736785,0.246193984614998,"POLYGON ((30.925818878104643 -23.010299162899322, 30.925818878104643 -22.992297743142153, 30.922929419397065 -22.992297792342484, 30.917243999350323 -23.01029921158599, 30.925818878104643 -23.010299162899322))",20.00000000000008,,1493.7629874310203,0.0,425.757675144718,Medium,grid_patches_final_png\grid_2553.png
000000000000000005a5,1445,-23.12233484663781,30.92413096087248,902006.4477267502,7437525.880475831,0.25950754362933,"POLYGON ((30.925818878104643 -23.130409538117004, 30.925818878104643 -23.118298567294616, 30.92075332645796 -23.11829863129807, 30.925818878104643 -23.130409538117004))",20.00000000000004,,2119.284056403237,0.0,467.43868519686856,Medium,grid_patches_final_png\grid_1445.png
000000000000000009fa,2554,-22.989248708922805,30.924856588085216,902477.3866797629,7452280.726552424,0.2402419751037841,"POLYGON ((30.925818878104643 -22.992297743142153, 30.925818878104643 -22.983152143470924, 30.922929419397065 -22.992297792342484, 30.925818878104643 -22.992297743142153))",19.999999999999982,,885.9204352303177,0.0,410.0485602207086,Medium,grid_patches_final_png\grid_2554.png
00000000000000000ade,2782,-22.665882837824835,30.92560869295069,903509.1668294768,7488133.570342543,0.461855153843961,"POLYGON ((30.925341728518248 -22.667340800653108, 30.925346194415848 -22.668031945180534, 30.92533288428918 -22.668294989422158, 30.925818878104643 -22.668295057696653, 30.925818878104643 -22.66244919032113, 30.92577877274232 -22.66257397888879, 30.925644971350877 -22.663077897680463, 30.925520101595374 -22.663786891069797, 30.925444356555197 -22.664339828141177, 30.925413095293703 -22.664839269358925, 30.925377455694488 -22.665757835678, 30.925337350187107 -22.666355353956092, 30.925328418391093 -22.666903759926893, 30.925341728518248 -22.667340800653108))",10.0,,378.8873827752445,0.0901960784313725,438.5571817122136,Medium,grid_patches_final_png\grid_2782.png
00000000000000000adb,2779,-22.67729694199989,30.93481952799997,904423.4388031416,7486842.871574435,0.3579643667871871,"POLYGON ((30.943820300752073 -22.686296413681806, 30.943820300752073 -22.66829499326614, 30.925818878104643 -22.668295057696653, 30.925818878104643 -22.6862964160386, 30.943820300752073 -22.686296413681806))",20.00000000000019,,1496.758985182784,15.309803921568626,564.9051061247142,Medium,grid_patches_final_png\grid_2779.png
000000000000000009f5,2549,-23.037296941999912,30.934819527999974,903356.898862592,7446925.568066995,0.2297673793528432,"POLYGON ((30.943820300752073 -23.046297450762484, 30.943820300752073 -23.02829609926269, 30.925818878104643 -23.028296074187494, 30.925818878104643 -23.04629751963065, 30.943820300752073 -23.046297450762484))",20.000000000000146,,4475.806693666283,0.0,443.0361267451709,Medium,grid_patches_final_png\grid_2549.png
000000000000000009ef,2543,-23.091296941999907,30.934819527999977,903195.5453397204,7440937.89029907,0.2010575536931053,"POLYGON ((30.943820300752073 -23.100297194664005, 30.943820300752073 -23.082295803310917, 30.925818878104643 -23.082295813934028, 30.925818878104643 -23.100297216705847, 30.943820300752073 -23.100297194664005))",30.000000000000007,,4095.694033578634,0.0,455.194674090245,Medium,grid_patches_final_png\grid_2543.png
000000000000000009f3,2547,-23.05529694199991,30.934819527999977,903303.154102423,7444929.677871772,0.2408816910571742,"POLYGON ((30.943820300752073 -23.06429884809468, 30.943820300752073 -23.046297450762484, 30.925818878104643 -23.04629751963065, 30.925818878104643 -23.064298847546485, 30.943820300752073 -23.06429884809468))",20.00000000000016,,5832.203737978997,0.0,452.5031259455244,Medium,grid_patches_final_png\grid_2547.png
000000000000000009f6,2550,-23.01929694199991,30.934819527999977,903410.60386841,7448921.455870076,0.2387598130208403,"POLYGON ((30.943820300752073 -23.02829609926269, 30.943820300752073 -23.010299200158112, 30.925818878104643 -23.010299162899322, 30.925818878104643 -23.028296074187494, 30.943820300752073 -23.02829609926269))",20.00000000000012,,2979.888085596582,0.0,433.0743814156443,Medium,grid_patches_final_png\grid_2550.png
00000000000000000ada,2778,-22.6952969419999,30.934819527999977,904370.4901073352,7484847.028942859,0.3640171045685176,"POLYGON ((30.943820300752073 -22.704297824923486, 30.943820300752073 -22.686296413681806, 30.925818878104643 -22.6862964160386, 30.925818878104643 -22.704297846364295, 30.943820300752073 -22.704297824923486))",20.00000000000013,,2699.0871529458086,13.109803921568624,521.0330251002357,Medium,grid_patches_final_png\grid_2778.png
000000000000000009da,2522,-23.109296941999915,30.93481952799998,903141.6813475408,7438941.9929186655,0.2203233339574192,"POLYGON ((30.943820300752073 -23.11829861567777, 30.943820300752073 -23.100297194664005, 30.925818878104643 -23.100297216705847, 30.925818878104643 -23.118298567294616, 30.943820300752073 -23.11829861567777))",20.00000000000013,,3224.080955418816,0.0,469.3475709623818,Medium,grid_patches_final_png\grid_2522.png
